ISBNNumber;Author;Description;Price;Title;YearOfRelease
1-993-47958-9;Annette Goodwin;Peaceful journey across vast plains, where secrets unfold under moonlight.;32,45;Secrets of the Wind;1998
1-866-14700-5;Leonard Moreno;In einer Stadt voller Schatten kämpft ein Held gegen seine Vergangenheit.;58,21;Shadows of the Past;2012
2-799-90481-4;Julie Watts;A tale of resilience and love in a post-apocalyptic world.;47,99;Ashes and Hope;2021
0-315-03240-5;Clinton Beck;Historische Entdeckung in den Alpen führt zu einem unglaublichen Geheimnis.;39,50;The Alpine Secret;1965
4-108-16768-6;Sa;Eine romantische Reise nach Paris wird zur Selbstfindung.;22,80;Paris in Spring;2010
2-298-86639-2;Bradley Hicks;Der Marsch der Maschinen beginnt – und ein Mädchen kann sie aufhalten.;73,60;Rise of the Machines;2012
9-985-75367-4;Irene Arnold;Magie und Wissenschaft prallen aufeinander in einer fernen Galaxie.;68,15;Star;1987
9-776-75907-6;Franky Torres;Ein Mörder, ein Kommissar, und eine Stadt voller Lügen.;29,95;City of Lies;2003
1-843-53263-8;Theresa Collins;Jede Familie hat ein Geheimnis. Ihre hat fünf.;41,10;Family Matters;1991
1-245-87435-7;Gerald Johnston;Uralte Prophezeiung erwacht – nur einer kann sie deuten.;37,20;Whispers of Fate;1977
2-834-55878-7;Brenda Graham;Ein Roadtrip durch Amerika mit einer Katze als einzigem Begleiter.;19,99;Meow Across America;2018
0-654-87854-4;Marcus Bradley;Kampf um die Zukunft in einem dystopischen Überwachungsstaat.;84,00;Silent State;2020
4-545-31214-4;Tamara Mitchell;Zwei Leben, zwei Kulturen – eine unmögliche Liebe.;27,75;Crossed Paths;2009
3-480-23072-5;Kent Hale;Ein vergessenes Tagebuch entfacht eine Spurensuche rund um den Globus.;44,10;The Lost Diary;1983
4-639-47419-9;Angelina Morrison;Ein Thriller mit überraschenden Wendungen und dunklen Abgründen.;65,00;The Curve;2017
4-162-15066-4;Vanessa Hughes;Ein Junge entdeckt, dass seine Träume die Realität verändern.;66,00;Dreamweaver;2000
8-737-63297-3;Roberta Banks;Philosophie und Abenteuer treffen in einer utopischen Gesellschaft.;52,35;Tomorrow's Dream;2024
1-651-23053-6;Jorge Dixon;Ein Kinderbuchautor verliert sich in seiner eigenen Fantasiewelt.;30,20;The Dreammaker;1899
9-031-41548-0;Nancy Drake;Die Zeit ist ein Kreis, und sie ist darin gefangen.;55,90;Circle of Time;1999
1-516-01134-1;Clifford Cobb;Ein Komödiant kämpft mit Depression – und findet Humor als Heilung.;23,70;Laugh to Live;2015
0-584-73690-8;Kara Rhodes;Eine kulinarische Reise durch Italien und das Leben.;35,40;Tastes of Tuscany;2027
6-249-88441-6;Erick Stephens;Ein Astronaut bleibt auf dem Mond gestrandet – mit seltsamer Gesellschaft.;61,75;Lunar Solitude;1989
5-622-11504-3;Janice Sutton;Vergessene Briefe enthüllen eine verbotene Liebe im 19. Jahrhundert.;38,50;Letters in the Attic;1973
6-463-98809-X;Dominique Dyer;Ein entführtes Kind, ein verzweifelter Vater, ein Wettlauf gegen die Zeit.;48,99;Chasing Silence;2013
4-420-44082-1;Moses Knight;Eine KI erwacht – aber will nur malen.;0,5;The Painter AI;2022
1-846-97804-1;Earl Jordan;Eine dokumentarische Reise durch die dunkle Seite des Internets.;45,25;Deep Web Diaries;2016
4-335-18890-0;Stacey Parks;Ein vergessener Songtext verändert ein ganzes Leben.;10000,01;Melody of Me;1995
3-010-92551-4;Toby O’Donnell;Das letzte Rennen eines alten Champions – und seine letzte Chance.;33,80;Final Lap;1982
7-518-09639-0;Aubrey Franklin;Eine Klimakatastrophe zwingt fünf Fremde zur Zusammenarbeit.;70,00;When the Ice Breaks;2023
5-016-94554-3;Melody Maxwell;Ein Künstler entdeckt das wahre Gesicht seines größten Werkes.;49,60;The Canvas Knows;1971
1-993-47958-9;Raymond Wolfe;Ein stiller See. Eine tote Frau. Und zu viele Verdächtige.;36,85;Lake of Secrets;2008
